une tomate,tomato
une pomme de terre,potato
une oignon,onion
une salade,letuce
une carotte,carrot
un poivron,pepper
un petit pois,pea
un ail,garlic
une aubergine,eggplant
un champignon,mushroom
un chou-fleur,cauliflower
un brocoli,broccoli
un asperge,asparagus
un haricot vert,green bean
un concombre,cucumber
le mais,corn
un radis,radish
un poireau,leek
un artichaut,artichoke
le potiron,pumpkin
un navet,turnip
le céleri,celery
un chou,cabbage
un chou de bruxelles,brussels sprout
un épinard,spinach
une courgette,squash
une betterave,beet
une endive,chicory
une orange,orange
une pomme,apple
une poire,pear
une banane,banana
une fraise,strawberry
une pêche,peach
un ananas,pineapple
un raisin,grape
un citron,lemon
un pastèque,watermelon
un melon,cantaloupe
un kiwi,kiwi
une cerise,cherry
un avocat,avocado
un abricot,apricot
un coco,coconut
une figue,fig
une pamplemousse,grapefruit
une framboise,raspberry
une clémantine,clementine
une mûre,blackberry
une prune,plum
une mangue,mango
le boeuf,beef
le veau,veal
le porc,pork
l'agneau,lamb
le poulet,chicken
la dinde,turkey
le canard,duck
le lapin,rabbit
le steak,steak
le filet,fillet
la côte,rib or coast
la cotelette,cutlet
la cuisse,thigh/ leg
la saucisse,sausage
le jambon,ham
le hamburguer,hamburger
la brochette,kebab
le lardon,bacon
le gigot,leg
le faux-filet,sirloin steak
le bifteck,steak
la viande hachée,ground meat
l'aile,wing
la poitrine,breast
du café,coffee
des flocons d'avoine,oats
le petit déjeuner,breakfast
du yaourt,yogurt
des graines,seeds or grains
des bluets,blueberries
des noix,nuts
des oeufs,eggs
du lait,milk
des pancakes / des crêpes avec du sirop d'érable,pancakes/crepes with syrup
du toast/pain grillé avec du beurre,toast with butter
du bacon,bacon
des gaufres,waffles
un bagel,bagel
du jus d'orange,orange juice
le miel,honey
la confiture,jelly
le gouter,snack
une collation,snack
l'entree,first course
le plat principal,main course
le dessert,dessert
un sandwich,sandwich
de la bière,beer
du vin,wine
une creme brulee,creme brulee
des spaghettis,spaghetti
la pizza,pizza
les pates,pasta
un hamburger,hamburger
de la tarte,tart/pie
du poisson,fish
du gateau au chocolat,chocolate cake
de la dinde,turkey
le thon,tuna
le fromage,cheese
une puree de pommes de terre,mashed potatoes
des oignons,onions
des champignons,mushrooms
des pommes de terre,potatoes
du chou,cabbage
des haricots verts,green beans
des carrotes,carrots
du brocoli,broccoli
du maïze,corn
commander,to order (in a restaurant)
les restaurants,restaurants
le serveur,waiter
la carte,menu
l'addition,check or bill
le menu,special menu of the day
